"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_20",750,0,0.305292479,0.819851454,2.455323838,0,0,0,0,0,0.643932552,0.26775441,28.46788594,0,0,0.978664348
"LU2_20",1000,0,0.171719407,0.624718649,1.821468391,0,0,0.119623938,0,0,0.362196003,0.247451677,16.4041151,0,0,1.119256068
"LU2_20",1250,0,0.109897542,0.512397745,1.446267823,0,0,0.162537435,0,0,0.231799371,0.240224113,14.86209754,0,0,0.946677708
"LU2_20",1500,0,0.076316376,0.440079145,1.256721655,0,0,0.112871205,0,0,0.271217894,0.453060758,11.36324837,0,0,0.826650687
"LU2_20",1750,0,0.056068489,0.378561056,1.089401866,0,0,0.082924775,0,0,0.199259691,0.515749917,8.953923561,0,0,0.787330836
"LU2_20",2000,0,0.042927018,0.330804216,0.956855934,0,0,0.063488658,0,0,0.216956349,0.509480109,7.833911422,0,0,0.796176051
"LU2_20",2250,0.015148337,0.033917395,0.294076931,0.853036184,0,0,0.050163525,0,0,0.171421052,0.492290388,7.468471135,0,0,0.859884867
"LU2_20",2500,0.072013112,0.027472929,0.264749525,0.771277747,0,0,0.040632204,0,0,0.272095556,0.470623596,6.860803155,0,0,0.963093606
"LU2_21",250,0,0,1.824786759,5.596478291,0,0,0,0,0,0,0,0,0,0,0.687009712
"LU2_21",500,0,0,1.132961369,3.409679894,0,0,0,0,0,0.992408261,0.721890359,0.352191615,0,0,0.404666158
"LU2_21",750,0,0,0.788276586,2.369855427,0,0,0,0,0,0.441031996,0.79355713,5.284667051,0,0,0.179835991
"LU2_21",1000,0,0,0.603139195,1.811412077,0,0,0,0,0,0.2480695,0.67463778,5.790877167,0,0,0.367600557
"LU2_21",1250,0,0.109896837,0.488172261,1.459765824,0,0,0,0,0,0.158760322,0.599662894,5.470317291,0,0,0.446709497
"LU2_21",1500,0.121528987,0.076315887,0.409892924,1.225742268,0,0,0,0,0,0.243214096,0.570770518,7.402482459,0,0,0.499362857
"LU2_21",1750,0.121926578,0.056068129,0.353195851,1.056008877,0,0,0,0,0,0.335898144,0.534210043,7.842576215,0,0,0.576915097
"LU2_21",2000,0.09334912,0.106568618,0.310308377,0.918879265,0,0,0.063488251,0,0,0.361532652,0.506803154,6.704660523,0,0,0.694621252
"LU2_21",2250,0.073756789,0.084201747,0.277862988,0.804959942,0,0,0.050163203,0,0,0.34092832,0.488639868,6.596310248,0,0,0.773159895
